Time (s), Node Label, Z Position (m), NT (K)
0.0,820,-3389.28173828125,306.7690124511719
0.0,821,-3393.73193359375,306.864013671875
0.0,822,-3398.10888671875,306.9570007324219
0.0,823,-3402.413818359375,307.04901123046875
0.0,824,-3406.64794921875,307.1390075683594
0.0,825,-3410.8125,307.2279968261719
0.0,826,-3414.908447265625,307.31500244140625
0.0,827,-3418.93701171875,307.4010009765625
0.0,828,-3422.899169921875,307.4859924316406
0.0,829,-3426.79638671875,307.5690002441406
0.0,830,-3430.62939453125,307.6499938964844
0.0,831,-3434.399169921875,307.7309875488281
0.0,832,-3438.107177734375,307.80999755859375
0.0,833,-3441.754150390625,307.88800048828125
0.0,834,-3445.341064453125,307.9639892578125
0.0,835,-3448.868896484375,308.03900146484375
0.0,836,-3452.338623046875,308.1130065917969
0.0,837,-3455.75146484375,308.1860046386719
0.0,838,-3459.108154296875,308.2569885253906
0.0,839,-3462.40966796875,308.3280029296875
0.0,840,-3465.65673828125,308.3970031738281
0.0,841,-3468.850341796875,308.4649963378906
0.0,842,-3471.991455078125,308.5320129394531
0.0,843,-3475.0810546875,308.5979919433594
0.0,844,-3478.11962890625,308.6629943847656
0.0,845,-3481.108154296875,308.72601318359375
0.0,846,-3484.047607421875,308.78900146484375
0.0,847,-3486.938720703125,308.85101318359375
0.0,848,-3489.782470703125,308.9110107421875
0.0,849,-3492.5791015625,308.97100830078125
0.0,850,-3495.329833984375,309.0299987792969
0.0,851,-3498.035400390625,309.0870056152344
0.0,852,-3500.696533203125,309.1440124511719
0.0,853,-3503.313720703125,309.20001220703125
0.0,854,-3505.887939453125,309.2550048828125
0.0,855,-3508.419677734375,309.3089904785156
0.0,856,-3510.909912109375,309.36199951171875
0.0,857,-3513.359130859375,309.41400146484375
0.0,858,-3515.76806640625,309.4649963378906
0.0,859,-3518.13720703125,309.5159912109375
0.0,860,-3520.467529296875,309.56500244140625
0.0,861,-3522.759521484375,309.614013671875
0.0,862,-3525.013916015625,309.6619873046875
0.0,863,-3527.23095703125,309.7099914550781
0.0,864,-3529.41162109375,309.7560119628906
0.0,865,-3531.556396484375,309.802001953125
0.0,866,-3533.666015625,309.84698486328125
0.0,867,-3535.740966796875,309.8909912109375
0.0,868,-3537.781494140625,309.9339904785156
0.0,869,-3539.78857421875,309.97698974609375
0.0,870,-3541.7626953125,310.0190124511719
